regio2,totalRent,balcony,livingSpace,noRooms
Stuttgart,1190.0,0,29.0,1.5
Köln,1500.0,1,120.0,3.0
Köln,608.0,0,29.0,1.0
Köln,1470.8,1,92.0,2.0
Stuttgart,920.0,0,50.0,2.5
Köln,950.0,1,75.01,2.0
Stuttgart,530.0,1,25.0,1.0
Köln,1150.0,1,100.0,4.5
Köln,1770.0,1,100.35,4.0
Stuttgart,1095.0,0,53.0,1.0
Stuttgart,1580.0,1,90.0,3.5
Köln,740.0,0,17.0,1.0
Köln,1600.0,1,102.0,3.0
Köln,1170.0,0,84.0,3.0
Stuttgart,2300.0,0,124.0,3.0
Köln,625.0,1,39.0,1.0
Stuttgart,720.0,0,30.0,1.0
Stuttgart,3350.0,1,151.0,4.5
Stuttgart,561.0,1,20.0,1.0
Stuttgart,370.0,0,14.7,1.0
Stuttgart,1890.0,1,75.0,2.5
Stuttgart,950.0,0,32.0,1.0
Köln,1728.0,1,104.0,3.0
Stuttgart,2990.0,1,120.0,4.0
Köln,1000.0,1,99.0,3.0
Köln,800.0,0,68.0,3.0
Köln,459.0,0,23.1,1.0
Stuttgart,1500.0,1,92.2,4.0
Köln,635.0,0,54.0,2.0
Köln,2500.0,1,104.0,3.0
Köln,360.0,0,26.0,1.0
Köln,1515.0,1,94.0,3.0
Köln,930.0,1,48.0,2.0
Stuttgart,945.0,0,63.0,2.0
Stuttgart,2200.0,1,108.0,4.0
Stuttgart,950.0,1,25.0,1.0
Köln,2750.0,1,218.0,3.0
Köln,1449.0,0,40.0,1.0
Köln,675.0,1,50.0,2.5
Stuttgart,770.0,1,57.0,2.0
Stuttgart,1150.0,1,85.0,3.5
Stuttgart,720.0,0,43.0,1.0
Köln,1140.0,1,88.0,3.0
Köln,2530.0,0,160.0,3.0
Stuttgart,600.0,0,15.0,1.0
Köln,830.0,0,18.0,1.0
Köln,1750.0,1,90.0,3.0
Köln,1960.0,1,124.0,3.0
Stuttgart,2190.0,0,74.0,3.0
Stuttgart,1660.0,1,83.0,3.0
Köln,690.0,1,26.0,1.0
Stuttgart,1390.0,1,90.55,3.0
